in:fs_0,in:np_0,in:fA_0,in:fB_0,in:fs_1,in:np_1,in:fA_1,in:fB_1,in:fs_2,in:np_2,in:fA_2,in:fB_2,in:fs_3,in:np_3,in:fA_3,in:fB_3,in:fs_4,in:np_4,in:fA_4,in:fB_4,in:fs_5,in:np_5,in:fA_5,in:fB_5,in:fs_6,in:np_6,in:fA_6,in:fB_6,in:fs_7,in:np_7,in:fA_7,in:fB_7,in:fs_8,in:np_8,in:fA_8,in:fB_8,in:fs_9,in:np_9,in:fA_9,in:fB_9,in:fs_10,in:np_10,in:fA_10,in:fB_10,in:fs_11,in:np_11,in:fA_11,in:fB_11,in:fs_12,in:np_12,in:fA_12,in:fB_12,out:StaticAction,out:IntersectBars,out:InterimForces,out:minLength,out:maxLength,out:minForce,out:maxForce,out:ID,img
0.1,0.06,-0.28,0,0.94,0,0,0,0.43,0.55,-0.06,0,0.12,0.64,-0.5,0,0.99,0,0,0,0.07,0,0,0,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,626.4,0,0,2.19,11.91,0.3,12.96,42,Frame_00042.png
0.13,0.78,-0.13,0,0.01,0.16,-0.97,0,0.83,0,0,0,0.67,0,0,0,0.37,0,0,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629.2,0,0,2.72,11.96,0.65,12.96,43,Frame_00043.png
0.13,0.92,-0.23,0,0.71,0,0,0,0.76,0,0,0,0.17,0.24,-0.95,0,0.95,0,0,0,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629.6,0,0,3,11.87,1.15,12.96,44,Frame_00044.png
0.49,0.7,0.14,0,0.37,0.36,-0.76,0,0.95,0,0,0,0.3,0,0,0,0.89,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,631.7,0,0,2.41,11.29,0.7,12.32,45,Frame_00045.png
1,0,0,0,0.93,0,0,0,0.1,0.87,0.2,0,0.7,0,0,0,0.7,0,0,0,0.98,0.55,-0.18,-0.75,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,633.3,0,0,2.49,11.92,0.9,12.96,46,Frame_00046.png
0.15,0.63,-0.23,0,0.17,0.02,-0.98,0,0.85,0,0,0,0.69,0,0,0,0.64,0,0,0,0.82,0.8,0.78,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,634.3,0,0,2.18,11.49,1.15,12.96,47,Frame_00047.png
0.99,0,0,0,0.38,0.17,-0.64,0,0.44,0,0,0,0.38,0.3,0.99,0,0.9,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,634.6,0,0,3,11.73,3.2,11.69,48,Frame_00048.png
0.11,0.36,-0.72,0,0.1,0.25,0.05,0,0.76,0,0,0,0.72,0,0,0,0.68,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,641.8,0,0,2.52,11.69,0.25,12.96,49,Frame_00049.png
0.1,0.59,-0.7,0,0.15,0.63,-0.06,0,0.82,0,0,0,0.41,0,0,0,0.58,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642.4,0,0,3,11.69,0.3,12.96,50,Frame_00050.png
0.14,0.94,-0.79,0,0.97,0,0,0,0.81,0,0,0,0.7,0,0,0,0.36,0.31,0.13,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642.7,0,0,3,11.9,0.65,12.45,51,Frame_00051.png
