in:fs_0,in:fs_1,in:fs_2,in:fs_3,in:fs_4,in:fs_5,in:fs_6,in:fs_7,in:fs_8,in:fs_9,in:fs_10,in:fs_11,in:fs_12,out:StaticAction,out:IntersectBars,out:InterimForces,out:minLength,out:maxLength,out:minForce,out:maxForce,out:ID,img
0.19,0.61,0.01,0.09,0.82,0.79,0.91,0,0,0,0,0,0,700,1,0,2.83,11.89,0.5,15.56,102,Frame_00102.png
0.04,0.68,0.03,0.95,0.54,0.56,0.9,0.71,0,0,0,0,0,701.7,1,0,2.42,11.3,1.3,11.48,103,Frame_00103.png
0.35,0.64,0.77,0.88,0.45,0.37,0,0,0,0,0,0,0,701.9,1,0,3,11.71,0.7,10.32,104,Frame_00104.png
0.95,0.18,0.31,0.02,0.87,0.76,0,0,0,0,0,0,0,703.7,1,0,2.6,11.69,2.5,12.96,105,Frame_00105.png
0.02,0.77,0.71,0.38,0.69,0.59,0,0,0,0,0,0,0,707.4,1,0,3,11.69,1,14.61,106,Frame_00106.png
0.48,0.97,0.59,0.67,1,0.38,0,0,0,0,0,0,0,714,1,0,3,11.64,1.15,10.7,107,Frame_00107.png
0.98,0.14,0.53,0.62,0.43,0.49,0.67,0,0,0,0,0,0,716.4,1,0,2.25,11.69,0.35,12.96,108,Frame_00108.png
0.97,0.73,0.98,0.86,0.83,0.08,0.95,0,0,0,0,0,0,717,1,0,3,11.7,1.6,10,109,Frame_00109.png
0.95,0.29,0.99,0.01,0.04,0.68,0.01,0,0,0,0,0,0,719.6,1,0,2.31,11.7,1.45,13.19,110,Frame_00110.png
0.99,0.94,0.53,0.51,0.95,0.99,0.79,0,0,0,0,0,0,722.8,1,0,2.5,11.69,1.3,12.96,111,Frame_00111.png
0.2,0.67,0.23,0.05,0.09,0.59,0,0,0,0,0,0,0,722.9,1,0,2.15,11.69,4.1,12.96,112,Frame_00112.png
0.5,0.61,0.17,0.73,0.57,0.78,0.03,0.58,0,0,0,0,0,723.7,1,0,2.04,11.96,0.9,11.74,113,Frame_00113.png
0.22,0.34,0.68,0.02,0.05,0.37,0.77,0.78,0,0,0,0,0,724.8,1,0,2.57,11.27,0.6,16.19,114,Frame_00114.png
0.09,0.94,0.82,0.11,0.52,0.51,0.23,0.25,0,0,0,0,0,726.4,1,0,2.67,11.37,0.9,10.92,115,Frame_00115.png
0.97,0.52,0.23,0.93,0.61,0.62,0,0,0,0,0,0,0,730.3,1,0,3,11.97,0.75,12.25,116,Frame_00116.png
0.21,0.68,0.08,0.11,0.77,0.45,0.07,0,0,0,0,0,0,740.5,1,0,3,11.94,1.85,14.8,117,Frame_00117.png
0.67,0.49,0.34,0.44,0.56,0.97,0.5,0.06,0,0,0,0,0,745.1,1,0,2.93,11.93,2.1,10.47,118,Frame_00118.png
0.35,0.45,0.11,0.01,0.23,0.23,0.52,0,0,0,0,0,0,753.7,1,0,2.88,11.9,2.15,14.41,119,Frame_00119.png
0.2,0.64,0.66,0.54,0.25,0.8,0.75,0,0,0,0,0,0,757.3,1,0,2.11,11.69,0.2,15.18,120,Frame_00120.png
0.49,0.97,0.53,0.28,0.67,0.06,0,0,0,0,0,0,0,766.6,1,0,3.21,11.97,3.05,13.68,121,Frame_00121.png
0.39,0.71,0.56,0.42,0.19,0.07,0.72,0.07,0.13,0,0,0,0,769,1,0,2.07,11.51,0.2,14.16,122,Frame_00122.png
0.5,0.61,0.74,0.99,0.74,0.72,0.09,0.16,0,0,0,0,0,771,1,0,2.7,11.9,1.6,10,123,Frame_00123.png
0.99,0.32,0.5,0.13,0.93,0.42,0.41,0.18,0,0,0,0,0,772.2,1,0,2.63,11.77,1.45,14.74,124,Frame_00124.png
0.25,0.54,0.13,0.13,0.76,0.4,0,0,0,0,0,0,0,776.4,1,0,3,11.74,1.35,15.72,125,Frame_00125.png
0.04,0.7,0.67,0.64,0.15,0.93,0.81,0,0,0,0,0,0,788,1,0,3,11.87,2.15,12.96,126,Frame_00126.png
0.67,0.96,0.69,0.33,0.53,0.38,0,0,0,0,0,0,0,789.7,1,0,2.19,11.99,3.4,14.47,127,Frame_00127.png
0.98,0.95,0.25,0.95,0.29,0.79,0,0,0,0,0,0,0,844.9,1,0,3,11.96,0.65,17.47,128,Frame_00128.png
0.97,0.07,0.29,0.02,0.54,0.81,0.87,0,0,0,0,0,0,596.3,2,0,3,11.69,0.15,12.96,129,Frame_00129.png
0.38,0.45,0.37,0.56,0.08,0.16,0,0,0,0,0,0,0,603.4,2,0,3,11.65,0.65,9.65,130,Frame_00130.png
0.56,0.58,0.96,0.07,0.07,0.66,0.59,0,0,0,0,0,0,609.3,2,0,2.81,11.38,0.75,12.27,131,Frame_00131.png
0.98,0.14,0.42,0.5,0.53,0.14,0,0,0,0,0,0,0,616,2,0,3,11.69,1.45,12.96,132,Frame_00132.png
0.18,0.72,0.69,0.09,0.34,0.04,0,0,0,0,0,0,0,638.2,2,0,2.38,11.69,2,12.96,133,Frame_00133.png
0.21,0.62,0.32,0.92,0.73,0.26,0.03,0,0,0,0,0,0,640.4,2,0,3,12,1.34,9.65,134,Frame_00134.png
0.99,0.27,0.41,0.02,0.99,0.5,0.57,0,0,0,0,0,0,641.7,2,0,2.28,11.69,0.88,12.97,135,Frame_00135.png
0.43,0.63,0.42,0.21,0.32,0.67,0.28,0,0,0,0,0,0,654.5,2,0,2.44,11.92,3.65,9.65,136,Frame_00136.png
0.17,0.94,0.35,0.55,0.81,0.6,0,0,0,0,0,0,0,655.7,2,0,2.07,11.69,1.59,12.96,137,Frame_00137.png
0.57,0.62,0.78,0.66,0.3,0.92,0.4,0,0,0,0,0,0,656.4,2,0,3,11.91,0.45,12.61,138,Frame_00138.png
0.04,0.66,0.62,0.43,0.7,0.54,0.33,0.6,0.45,0,0,0,0,662.1,2,0,2,12,0.95,13.05,139,Frame_00139.png
0.97,0.32,0.98,0.85,0.25,0.02,0.62,0,0,0,0,0,0,663.1,2,0,3,11.91,0.45,12.61,140,Frame_00140.png
